가입연도,가입당시연령,계약자 소재지(시군구),면적,지목,월지급금(원)
2023,60대,강원특별자치도 강릉시 사천면 사천진리,1654,답,562420
2017,60대,강원특별자치도 강릉시 사천면 석교리,12025,"답,전",2041560
2019,70대,강원특별자치도 강릉시 사천면 판교리,1666,답,456990
2019,70대,강원특별자치도 강릉시 사천면 판교리,1059,답,290510
2019,70대,강원특별자치도 강릉시 사천면 판교리,1905,답,522440
2011,60대,강원특별자치도 강릉시 성산면 관음리,17392,"답,전",1159200
2012,70대,강원특별자치도 강릉시 성산면 관음리,364,전,14340
2017,60대,강원특별자치도 강릉시 성산면 금산리,4397,답,2035980
2024,60대,강원특별자치도 강릉시 성산면 금산리,2621,"답,전",1627930
2025,60대,강원특별자치도 강릉시 성산면 금산리,6315,"답,전",2162350
2022,70대,강원특별자치도 강릉시 성산면 보광리,10645,전,3000000
2020,60대,강원특별자치도 강릉시 성산면 산북리,3460,전,1672960
2025,70대,강원특별자치도 강릉시 성산면 어흘리,3769,답,1028080
2012,70대,강원특별자치도 강릉시 송정동 ,878,답,908020
2015,70대,강원특별자치도 강릉시 송정동 ,4658,전,2842030
2025,60대,강원특별자치도 강릉시 송정동 ,4592,답,1364450
2014,70대,강원특별자치도 강릉시 연곡면 동덕리,4153,전,1671210
2023,70대,강원특별자치도 강릉시 연곡면 동덕리,917,전,822930
2014,70대,강원특별자치도 강릉시 연곡면 삼산리,4149,전,510120
2024,60대,강원특별자치도 강릉시 연곡면 삼산리,4823,전,2873070
2015,80대,강원특별자치도 강릉시 연곡면 송림리,1725,과수원,372300
2012,60대,강원특별자치도 강릉시 연곡면 신왕리,1941,답,84550
2015,70대,강원특별자치도 강릉시 연곡면 신왕리,2915,전,1591130
2024,60대,강원특별자치도 강릉시 연곡면 신왕리,10013,답,2721470
2012,80대,강원특별자치도 강릉시 연곡면 영진리,552,전,108890
2017,70대,강원특별자치도 강릉시 연곡면 영진리,6668,전,1012960
2018,70대,강원특별자치도 강릉시 연곡면 영진리,1509,전,452910
2018,70대,강원특별자치도 강릉시 연곡면 영진리,825,전,247610
2020,60대,강원특별자치도 강릉시 옥계면 금진리,4627,답,1313230
2022,70대,강원특별자치도 강릉시 옥계면 금진리,2833,답,340270
2022,60대,강원특별자치도 강릉시 옥계면 남양리,1534,전,1073030
2023,70대,강원특별자치도 강릉시 옥계면 남양리,4789,답,2252100
2024,60대,강원특별자치도 강릉시 옥계면 남양리,4787,답,2467930
2025,70대,강원특별자치도 강릉시 옥계면 산계리,2132,답,1013700
2016,70대,강원특별자치도 강릉시 옥계면 현내리,3125,전,1679850
2018,60대,강원특별자치도 강릉시 옥계면 현내리,3515,답,869570
2023,70대,강원특별자치도 강릉시 옥계면 현내리,3910,전,1063550
2023,70대,강원특별자치도 강릉시 옥계면 현내리,4443,"답,전",1529940
2023,60대,강원특별자치도 강릉시 옥계면 현내리,1285,"답,전",405680
2025,80대,강원특별자치도 강릉시 옥계면 현내리,2026,전,3000000
2025,70대,강원특별자치도 강릉시 옥계면 현내리,4881,"답,전",1977890
2014,70대,강원특별자치도 강릉시 옥천동 ,5921,답,2937620
2016,70대,강원특별자치도 강릉시 옥천동 ,2007,전,487090
2021,70대,강원특별자치도 강릉시 옥천동 ,6444,"답,전",3000000
2019,70대,강원특별자치도 강릉시 왕산면 도마리,1712,답,148200
2021,70대,강원특별자치도 강릉시 왕산면 도마리,4593,답,554920
2022,60대,강원특별자치도 강릉시 왕산면 도마리,4250,전,1284550
2011,70대,강원특별자치도 강릉시 왕산면 목계리,15362,"답,전",925730
2025,70대,강원특별자치도 강릉시 왕산면 목계리,1114,답,2535570
2018,60대,강원특별자치도 강릉시 왕산면 송현리,2014,전,181240
2018,60대,강원특별자치도 강릉시 왕산면 송현리,1155,전,93540
2018,60대,강원특별자치도 강릉시 왕산면 송현리,876,전,70950
2018,60대,강원특별자치도 강릉시 왕산면 송현리,218,전,17650
2018,60대,강원특별자치도 강릉시 왕산면 송현리,691,전,58040
2024,60대,강원특별자치도 강릉시 유천동 ,1872,답,439590
2022,70대,강원특별자치도 강릉시 임당동 ,1136,전,370600
2016,70대,강원특별자치도 강릉시 입암동 ,3828,답,1574720
2018,70대,강원특별자치도 강릉시 입암동 ,2678,답,1245580
2018,70대,강원특별자치도 강릉시 입암동 ,1151,답,535150
2020,60대,강원특별자치도 강릉시 입암동 ,8350,전,605560
2023,60대,강원특별자치도 강릉시 입암동 ,10270,전,1388990
2024,60대,강원특별자치도 강릉시 입암동 ,12806,"답,전",3000000
2018,70대,강원특별자치도 강릉시 저동 ,2708,답,943950
2023,60대,강원특별자치도 강릉시 저동 ,4102,"답,전",1575300
2011,70대,강원특별자치도 강릉시 주문진읍 교항리,5682,"답,전",606180
2012,70대,강원특별자치도 강릉시 주문진읍 교항리,982,답,767300
2020,80대,강원특별자치도 강릉시 주문진읍 교항리,1470,전,1007490
2016,80대,강원특별자치도 강릉시 주문진읍 주문리,3669,답,445800
2016,80대,강원특별자치도 강릉시 주문진읍 주문리,3669,답,609190
2019,80대,강원특별자치도 강릉시 주문진읍 향호리,1310,답,105380
2019,80대,강원특별자치도 강릉시 주문진읍 향호리,2418,답,194520
2011,80대,강원특별자치도 강릉시 죽헌동 ,3724,답,1047200
2011,80대,강원특별자치도 강릉시 죽헌동 ,2549,답,472820
2022,90대,강원특별자치도 강릉시 죽헌동 ,1903,전,2667630
2021,80대,강원특별자치도 강릉시 청량동 ,5660,답,2810920
2012,60대,강원특별자치도 강릉시 초당동 ,3920,답,1740620
2014,70대,강원특별자치도 강릉시 초당동 ,2832,전,861960
2014,70대,강원특별자치도 강릉시 초당동 ,1600,전,806590
2015,70대,강원특별자치도 강릉시 초당동 ,1815,전,393730
2016,70대,강원특별자치도 강릉시 초당동 ,1840,전,1054910
2023,60대,강원특별자치도 강릉시 초당동 ,2245,전,320400
2012,60대,강원특별자치도 강릉시 포남동 ,1474,답,87380
2013,70대,강원특별자치도 강릉시 포남동 ,980,전,432330
2014,60대,강원특별자치도 강릉시 포남동 ,5447,"답,전",200560
2015,70대,강원특별자치도 강릉시 포남동 ,2402,전,443740
2019,80대,강원특별자치도 강릉시 포남동 ,1367,전,2003240
2020,60대,강원특별자치도 강릉시 포남동 ,11826,전,692300
2022,70대,강원특별자치도 강릉시 포남동 ,884,답,88230
2023,60대,강원특별자치도 강릉시 포남동 ,1653,전,230360
2024,80대,강원특별자치도 강릉시 포남동 ,1171,전,2003800
2025,60대,강원특별자치도 강릉시 포남동 ,2549,전,711560
2025,70대,강원특별자치도 강릉시 포남동 ,7380,전,2654090
2020,80대,강원특별자치도 강릉시 학동 ,1890,전,579480
2020,80대,강원특별자치도 강릉시 학동 ,330,답,406460
2011,80대,강원특별자치도 강릉시 홍제동 ,2992,답,1606990
2015,70대,강원특별자치도 강릉시 홍제동 ,6053,답,946660
2016,70대,강원특별자치도 강릉시 홍제동 ,3374,"답,전",2523950
2020,60대,강원특별자치도 강릉시 홍제동 ,1755,전,204520
2023,60대,강원특별자치도 강릉시 홍제동 ,1755,전,362210
2023,80대,강원특별자치도 강릉시 홍제동 ,2065,전,2458470
2012,70대,강원특별자치도 강릉시 회산동 ,2291,답,2485110
2017,70대,강원특별자치도 강릉시 회산동 ,6880,"과수원,답,전",2967560
2025,90대,강원특별자치도 강릉시 회산동 ,1223,답,2847790
2011,70대,강원특별자치도 고성군 간성읍 금수리,562,답,1387270
2011,60대,강원특별자치도 고성군 간성읍 금수리,8287,답,717900
2022,60대,강원특별자치도 고성군 간성읍 상리,16691,답,1031300
2022,60대,강원특별자치도 고성군 간성읍 상리,14366,답,900800
2024,70대,강원특별자치도 고성군 간성읍 상리,4242,답,1073240
2017,60대,강원특별자치도 고성군 간성읍 신안리,2169,답,231050
2017,60대,강원특별자치도 고성군 간성읍 신안리,2159,전,526770
2017,60대,강원특별자치도 고성군 간성읍 신안리,782,답,328740
2018,70대,강원특별자치도 고성군 간성읍 신안리,1504,전,890700
2019,70대,강원특별자치도 고성군 간성읍 신안리,1930,답,680110
2019,60대,강원특별자치도 고성군 간성읍 신안리,485,전,438190
2019,60대,강원특별자치도 고성군 간성읍 신안리,1372,전,406120
2019,60대,강원특별자치도 고성군 간성읍 신안리,228,전,292760
2024,60대,강원특별자치도 고성군 간성읍 신안리,1808,전,1683340
2021,60대,강원특별자치도 고성군 간성읍 어천리,7064,답,380640
2014,60대,강원특별자치도 고성군 간성읍 장신리,2182,전,916810
2014,60대,강원특별자치도 고성군 간성읍 장신리,800,전,46190
2023,80대,강원특별자치도 고성군 간성읍 장신리,4025,답,770710
2025,80대,강원특별자치도 고성군 간성읍 장신리,1983,전,1189350
2022,60대,강원특별자치도 고성군 간성읍 흘리,1503,전,118200
2023,60대,강원특별자치도 고성군 간성읍 흘리,1646,전,425630
2013,60대,강원특별자치도 고성군 거진읍 ,5173,전,160310
