고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4111113200104940014,4111113200,경기도 수원시 장안구 율전동,1,일반,494-14,2026,1,623700,2026-04-30,N,2026-05-21,41110
4111113200104910015,4111113200,경기도 수원시 장안구 율전동,1,일반,491-15,2026,1,566900,2026-04-30,N,2026-05-21,41110
4111113200104910007,4111113200,경기도 수원시 장안구 율전동,1,일반,491-7,2026,1,1707000,2026-04-30,N,2026-05-21,41110
4111112900105550003,4111112900,경기도 수원시 장안구 파장동,1,일반,555-3,2026,1,2250000,2026-04-30,N,2026-05-21,41110
4111112900105510000,4111112900,경기도 수원시 장안구 파장동,1,일반,551,2026,1,746400,2026-04-30,N,2026-05-21,41110
4111112900105460001,4111112900,경기도 수원시 장안구 파장동,1,일반,546-1,2026,1,273200,2026-04-30,N,2026-05-21,41110
4111112900105440005,4111112900,경기도 수원시 장안구 파장동,1,일반,544-5,2026,1,317500,2026-04-30,N,2026-05-21,41110
4111112900105440000,4111112900,경기도 수원시 장안구 파장동,1,일반,544,2026,1,342200,2026-04-30,N,2026-05-21,41110
4111112900105310005,4111112900,경기도 수원시 장안구 파장동,1,일반,531-5,2026,1,428600,2026-04-30,N,2026-05-21,41110
4111112900105280020,4111112900,경기도 수원시 장안구 파장동,1,일반,528-20,2026,1,746400,2026-04-30,N,2026-05-21,41110
4111112900105280012,4111112900,경기도 수원시 장안구 파장동,1,일반,528-12,2026,1,735200,2026-04-30,N,2026-05-21,41110
4111112900105280011,4111112900,경기도 수원시 장안구 파장동,1,일반,528-11,2026,1,735200,2026-04-30,N,2026-05-21,41110
4111112900105250008,4111112900,경기도 수원시 장안구 파장동,1,일반,525-8,2026,1,1292000,2026-04-30,N,2026-05-21,41110
4111112900105250001,4111112900,경기도 수원시 장안구 파장동,1,일반,525-1,2026,1,1578000,2026-04-30,N,2026-05-21,41110
4111112900105230065,4111112900,경기도 수원시 장안구 파장동,1,일반,523-65,2026,1,456000,2026-04-30,N,2026-05-21,41110
4111112900105230063,4111112900,경기도 수원시 장안구 파장동,1,일반,523-63,2026,1,1860000,2026-04-30,N,2026-05-21,41110
4111112900105230062,4111112900,경기도 수원시 장안구 파장동,1,일반,523-62,2026,1,456000,2026-04-30,N,2026-05-21,41110
4111112900105230056,4111112900,경기도 수원시 장안구 파장동,1,일반,523-56,2026,1,456000,2026-04-30,N,2026-05-21,41110
4111112900105230049,4111112900,경기도 수원시 장안구 파장동,1,일반,523-49,2026,1,456000,2026-04-30,N,2026-05-21,41110
4111112900105230031,4111112900,경기도 수원시 장안구 파장동,1,일반,523-31,2026,1,1863000,2026-04-30,N,2026-05-21,41110
4111112900105230011,4111112900,경기도 수원시 장안구 파장동,1,일반,523-11,2026,1,639800,2026-04-30,N,2026-05-21,41110
4111112900105180012,4111112900,경기도 수원시 장안구 파장동,1,일반,518-12,2026,1,802500,2026-04-30,N,2026-05-21,41110
4111113600104560087,4111113600,경기도 수원시 장안구 조원동,1,일반,456-87,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600104560078,4111113600,경기도 수원시 장안구 조원동,1,일반,456-78,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600104560062,4111113600,경기도 수원시 장안구 조원동,1,일반,456-62,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600104560060,4111113600,경기도 수원시 장안구 조원동,1,일반,456-60,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600104560045,4111113600,경기도 수원시 장안구 조원동,1,일반,456-45,2026,1,1414000,2026-04-30,N,2026-05-21,41110
4111113600104560044,4111113600,경기도 수원시 장안구 조원동,1,일반,456-44,2026,1,1414000,2026-04-30,N,2026-05-21,41110
4111113600104560035,4111113600,경기도 수원시 장안구 조원동,1,일반,456-35,2026,1,476100,2026-04-30,N,2026-05-21,41110
4111113600104560032,4111113600,경기도 수원시 장안구 조원동,1,일반,456-32,2026,1,1414000,2026-04-30,N,2026-05-21,41110
4111113600104560031,4111113600,경기도 수원시 장안구 조원동,1,일반,456-31,2026,1,1414000,2026-04-30,N,2026-05-21,41110
4111113600104560020,4111113600,경기도 수원시 장안구 조원동,1,일반,456-20,2026,1,1354000,2026-04-30,N,2026-05-21,41110
4111113600104560019,4111113600,경기도 수원시 장안구 조원동,1,일반,456-19,2026,1,1499000,2026-04-30,N,2026-05-21,41110
4111113700102160018,4111113700,경기도 수원시 장안구 연무동,1,일반,216-18,2026,1,2016000,2026-04-30,N,2026-05-21,41110
4111113700102160017,4111113700,경기도 수원시 장안구 연무동,1,일반,216-17,2026,1,536200,2026-04-30,N,2026-05-21,41110
4111113700102160010,4111113700,경기도 수원시 장안구 연무동,1,일반,216-10,2026,1,1368000,2026-04-30,N,2026-05-21,41110
4111113700102160003,4111113700,경기도 수원시 장안구 연무동,1,일반,216-3,2026,1,1625000,2026-04-30,N,2026-05-21,41110
4111113700102160002,4111113700,경기도 수원시 장안구 연무동,1,일반,216-2,2026,1,1787000,2026-04-30,N,2026-05-21,41110
4111113700102150040,4111113700,경기도 수원시 장안구 연무동,1,일반,215-40,2026,1,1521000,2026-04-30,N,2026-05-21,41110
4111113700102150038,4111113700,경기도 수원시 장안구 연무동,1,일반,215-38,2026,1,1521000,2026-04-30,N,2026-05-21,41110
4111113700102150036,4111113700,경기도 수원시 장안구 연무동,1,일반,215-36,2026,1,2144000,2026-04-30,N,2026-05-21,41110
4111113700102150028,4111113700,경기도 수원시 장안구 연무동,1,일반,215-28,2026,1,1352000,2026-04-30,N,2026-05-21,41110
4111113700102150021,4111113700,경기도 수원시 장안구 연무동,1,일반,215-21,2026,1,1460000,2026-04-30,N,2026-05-21,41110
4111113700102150011,4111113700,경기도 수원시 장안구 연무동,1,일반,215-11,2026,1,2216000,2026-04-30,N,2026-05-21,41110
4111113700102150009,4111113700,경기도 수원시 장안구 연무동,1,일반,215-9,2026,1,2193000,2026-04-30,N,2026-05-21,41110
4111113700102150005,4111113700,경기도 수원시 장안구 연무동,1,일반,215-5,2026,1,1666000,2026-04-30,N,2026-05-21,41110
4111113700102150003,4111113700,경기도 수원시 장안구 연무동,1,일반,215-3,2026,1,1819000,2026-04-30,N,2026-05-21,41110
4111113700102140002,4111113700,경기도 수원시 장안구 연무동,1,일반,214-2,2026,1,1615000,2026-04-30,N,2026-05-21,41110
4111113700102130034,4111113700,경기도 수원시 장안구 연무동,1,일반,213-34,2026,1,1257000,2026-04-30,N,2026-05-21,41110
4111113700102130013,4111113700,경기도 수원시 장안구 연무동,1,일반,213-13,2026,1,1521000,2026-04-30,N,2026-05-21,41110
4111113700102130012,4111113700,경기도 수원시 장안구 연무동,1,일반,213-12,2026,1,1600000,2026-04-30,N,2026-05-21,41110
4111113700102130008,4111113700,경기도 수원시 장안구 연무동,1,일반,213-8,2026,1,1521000,2026-04-30,N,2026-05-21,41110
4111113700102120035,4111113700,경기도 수원시 장안구 연무동,1,일반,212-35,2026,1,2300000,2026-04-30,N,2026-05-21,41110
4111113700102120031,4111113700,경기도 수원시 장안구 연무동,1,일반,212-31,2026,1,536200,2026-04-30,N,2026-05-21,41110
4111113700102120026,4111113700,경기도 수원시 장안구 연무동,1,일반,212-26,2026,1,1312000,2026-04-30,N,2026-05-21,41110
4111113700102120025,4111113700,경기도 수원시 장안구 연무동,1,일반,212-25,2026,1,456000,2026-04-30,N,2026-05-21,41110
4111113700102120023,4111113700,경기도 수원시 장안구 연무동,1,일반,212-23,2026,1,1839000,2026-04-30,N,2026-05-21,41110
4111113700102120021,4111113700,경기도 수원시 장안구 연무동,1,일반,212-21,2026,1,1382000,2026-04-30,N,2026-05-21,41110
4111113700102120017,4111113700,경기도 수원시 장안구 연무동,1,일반,212-17,2026,1,1625000,2026-04-30,N,2026-05-21,41110
4111113700102120014,4111113700,경기도 수원시 장안구 연무동,1,일반,212-14,2026,1,2293000,2026-04-30,N,2026-05-21,41110
4111113700102120002,4111113700,경기도 수원시 장안구 연무동,1,일반,212-2,2026,1,1561000,2026-04-30,N,2026-05-21,41110
4111113700102020024,4111113700,경기도 수원시 장안구 연무동,1,일반,202-24,2026,1,466900,2026-04-30,N,2026-05-21,41110
4111113700102020009,4111113700,경기도 수원시 장안구 연무동,1,일반,202-9,2026,1,1443000,2026-04-30,N,2026-05-21,41110
4111113400102360002,4111113400,경기도 수원시 장안구 영화동,1,일반,236-2,2026,1,705800,2026-04-30,N,2026-05-21,41110
4111113400102340009,4111113400,경기도 수원시 장안구 영화동,1,일반,234-9,2026,1,1756000,2026-04-30,N,2026-05-21,41110
4111113400102280004,4111113400,경기도 수원시 장안구 영화동,1,일반,228-4,2026,1,705800,2026-04-30,N,2026-05-21,41110
4111113400102270004,4111113400,경기도 수원시 장안구 영화동,1,일반,227-4,2026,1,579800,2026-04-30,N,2026-05-21,41110
4111113400102260014,4111113400,경기도 수원시 장안구 영화동,1,일반,226-14,2026,1,579800,2026-04-30,N,2026-05-21,41110
4111113400102260013,4111113400,경기도 수원시 장안구 영화동,1,일반,226-13,2026,1,579800,2026-04-30,N,2026-05-21,41110
4111113500101350007,4111113500,경기도 수원시 장안구 송죽동,1,일반,135-7,2026,1,1652000,2026-04-30,N,2026-05-21,41110
4111113500101350004,4111113500,경기도 수원시 장안구 송죽동,1,일반,135-4,2026,1,450400,2026-04-30,N,2026-05-21,41110
4111113500101350001,4111113500,경기도 수원시 장안구 송죽동,1,일반,135-1,2026,1,1862000,2026-04-30,N,2026-05-21,41110
4111113500101340000,4111113500,경기도 수원시 장안구 송죽동,1,일반,134,2026,1,1572000,2026-04-30,N,2026-05-21,41110
4111113500101300001,4111113500,경기도 수원시 장안구 송죽동,1,일반,130-1,2026,1,1674000,2026-04-30,N,2026-05-21,41110
4111113500101280005,4111113500,경기도 수원시 장안구 송죽동,1,일반,128-5,2026,1,407200,2026-04-30,N,2026-05-21,41110
4111113500101270003,4111113500,경기도 수원시 장안구 송죽동,1,일반,127-3,2026,1,449700,2026-04-30,N,2026-05-21,41110
4111113500101260001,4111113500,경기도 수원시 장안구 송죽동,1,일반,126-1,2026,1,1228000,2026-04-30,N,2026-05-21,41110
4111113500101250007,4111113500,경기도 수원시 장안구 송죽동,1,일반,125-7,2026,1,1228000,2026-04-30,N,2026-05-21,41110
4111113500101250001,4111113500,경기도 수원시 장안구 송죽동,1,일반,125-1,2026,1,1267000,2026-04-30,N,2026-05-21,41110
4111113500101230001,4111113500,경기도 수원시 장안구 송죽동,1,일반,123-1,2026,1,407200,2026-04-30,N,2026-05-21,41110
4111113500101200004,4111113500,경기도 수원시 장안구 송죽동,1,일반,120-4,2026,1,1271000,2026-04-30,N,2026-05-21,41110
4111113500101180004,4111113500,경기도 수원시 장안구 송죽동,1,일반,118-4,2026,1,1221000,2026-04-30,N,2026-05-21,41110
4111113500101090006,4111113500,경기도 수원시 장안구 송죽동,1,일반,109-6,2026,1,1389000,2026-04-30,N,2026-05-21,41110
4111113500101080013,4111113500,경기도 수원시 장안구 송죽동,1,일반,108-13,2026,1,1396000,2026-04-30,N,2026-05-21,41110
4111113500101080011,4111113500,경기도 수원시 장안구 송죽동,1,일반,108-11,2026,1,407200,2026-04-30,N,2026-05-21,41110
4111113500101080004,4111113500,경기도 수원시 장안구 송죽동,1,일반,108-4,2026,1,407200,2026-04-30,N,2026-05-21,41110
4111113500101070015,4111113500,경기도 수원시 장안구 송죽동,1,일반,107-15,2026,1,407200,2026-04-30,N,2026-05-21,41110
4111113500101050001,4111113500,경기도 수원시 장안구 송죽동,1,일반,105-1,2026,1,1221000,2026-04-30,N,2026-05-21,41110
4111113500101040002,4111113500,경기도 수원시 장안구 송죽동,1,일반,104-2,2026,1,1271000,2026-04-30,N,2026-05-21,41110
4111113500101000004,4111113500,경기도 수원시 장안구 송죽동,1,일반,100-4,2026,1,1465000,2026-04-30,N,2026-05-21,41110
4111113500100980022,4111113500,경기도 수원시 장안구 송죽동,1,일반,98-22,2026,1,1294000,2026-04-30,N,2026-05-21,41110
4111113500100980021,4111113500,경기도 수원시 장안구 송죽동,1,일반,98-21,2026,1,383700,2026-04-30,N,2026-05-21,41110
4111113500100980020,4111113500,경기도 수원시 장안구 송죽동,1,일반,98-20,2026,1,383700,2026-04-30,N,2026-05-21,41110
4111113100100750001,4111113100,경기도 수원시 장안구 이목동,1,일반,75-1,2026,1,330300,2026-04-30,N,2026-05-21,41110
4111113100100710002,4111113100,경기도 수원시 장안구 이목동,1,일반,71-2,2026,1,330300,2026-04-30,N,2026-05-21,41110
4111113100100700008,4111113100,경기도 수원시 장안구 이목동,1,일반,70-8,2026,1,272800,2026-04-30,N,2026-05-21,41110
4111113100100700001,4111113100,경기도 수원시 장안구 이목동,1,일반,70-1,2026,1,825800,2026-04-30,N,2026-05-21,41110
4111113100100690006,4111113100,경기도 수원시 장안구 이목동,1,일반,69-6,2026,1,330300,2026-04-30,N,2026-05-21,41110
4111113100100670003,4111113100,경기도 수원시 장안구 이목동,1,일반,67-3,2026,1,567500,2026-04-30,N,2026-05-21,41110
4111112900102030003,4111112900,경기도 수원시 장안구 파장동,1,일반,203-3,2026,1,1247000,2026-04-30,N,2026-05-21,41110
4111112900102020002,4111112900,경기도 수원시 장안구 파장동,1,일반,202-2,2026,1,428600,2026-04-30,N,2026-05-21,41110
4111112900102010009,4111112900,경기도 수원시 장안구 파장동,1,일반,201-9,2026,1,428600,2026-04-30,N,2026-05-21,41110
4111112900102010003,4111112900,경기도 수원시 장안구 파장동,1,일반,201-3,2026,1,1384000,2026-04-30,N,2026-05-21,41110
4111112900102010002,4111112900,경기도 수원시 장안구 파장동,1,일반,201-2,2026,1,1165000,2026-04-30,N,2026-05-21,41110
4111112900102000006,4111112900,경기도 수원시 장안구 파장동,1,일반,200-6,2026,1,428600,2026-04-30,N,2026-05-21,41110
4111112900102000005,4111112900,경기도 수원시 장안구 파장동,1,일반,200-5,2026,1,1260000,2026-04-30,N,2026-05-21,41110
