고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,공시지가,공시일자,표준지여부,데이터기준일자,원천시도시군구코드
4623035027107660000,4623035027,전라남도 광양시 진월면 신구리,1,일반,766,2026,1,15100,2026-04-30,N,2026-05-21,46230
4615010800106180018,4615010800,전라남도 순천시 석현동,1,일반,618-18,2026,1,1300,2026-04-30,N,2026-05-21,46150
4.67703202313222e+18,4677032023,전라남도 고흥군 도덕면 가야리,1,일반,3222-4,2026,1,2780,2026-04-30,N,2026-05-21,46770
4611015600102080001,4611015600,전라남도 목포시 온금동,1,일반,208-1,2026,1,61100,2026-04-30,N,2026-05-21,46110
4687033029104040001,4687033029,전라남도 영광군 불갑면 건무리,1,일반,404-1,2026,1,2680,2026-04-30,N,2026-05-21,46870
4617032021105820022,4617032021,전라남도 나주시 왕곡면 덕산리,1,일반,582-22,2026,1,9570,2026-04-30,N,2026-05-21,46170
4686033025100340005,4686033025,전라남도 함평군 학교면 곡창리,1,일반,34-5,2026,1,2960,2026-04-30,N,2026-05-21,46860
4681031028100200005,4681031028,전라남도 강진군 군동면 장산리,1,일반,20-5,2026,1,10700,2026-04-30,N,2026-05-21,46810
4623033022105990010,4623033022,전라남도 광양시 옥곡면 대죽리,1,일반,599-10,2026,1,27100,2026-04-30,N,2026-05-21,46230
4684037021104850002,4684037021,전라남도 무안군 운남면 하묘리,1,일반,485-2,2026,1,15300,2026-04-30,N,2026-05-21,46840
4615012700104550006,4615012700,전라남도 순천시 덕월동,1,일반,455-6,2026,1,572700,2026-04-30,N,2026-05-21,46150
4690033028109370006,4690033028,전라남도 진도군 의신면 연주리,1,일반,937-6,2026,1,2150,2026-04-30,N,2026-05-21,46900
4677032023112880001,4677032023,전라남도 고흥군 도덕면 가야리,1,일반,1288-1,2026,1,10500,2026-04-30,N,2026-05-21,46770
4680031031103610003,4680031031,전라남도 장흥군 용산면 계산리,1,일반,361-3,2026,1,10000,2026-04-30,N,2026-05-21,46800
4617032023101030226,4617032023,전라남도 나주시 왕곡면 옥곡리,1,일반,103-226,2026,1,3690,2026-04-30,N,2026-05-21,46170
4671033521105950001,4671033521,전라남도 담양군 가사문학면 학선리,1,일반,595-1,2026,1,5040,2026-04-30,N,2026-05-21,46710
4613031025111480002,4613031025,전라남도 여수시 소라면 복산리,1,일반,1148-2,2026,1,21500,2026-04-30,N,2026-05-21,46130
4615011600103000001,4615011600,전라남도 순천시 남정동,1,일반,300-1,2026,1,267600,2026-04-30,N,2026-05-21,46150
4681034026104220008,4681034026,전라남도 강진군 도암면 만덕리,1,일반,422-8,2026,1,9590,2026-04-30,N,2026-05-21,46810
4690031025108160009,4690031025,전라남도 진도군 군내면 세등리,1,일반,816-9,2026,1,8350,2026-04-30,N,2026-05-21,46900
4617013200102540006,4617013200,전라남도 나주시 오량동,1,일반,254-6,2026,1,17900,2026-04-30,N,2026-05-21,46170
4679025030103860000,4679025030,전라남도 화순군 화순읍 광덕리,1,일반,386,2026,1,275400,2026-04-30,N,2026-05-21,46790
